grid:
32|8|8|8|8|8|8|8|52|8|8|8|8|8|8|8|32
16|1|2|2|2|2|2|2|52|2|2|2|2|2|2|3|16
16|9|10|10|10|10|10|10|10|10|10|10|10|10|10|11|16
16|9|10|4|29|29|29|6|10|4|29|29|29|6|10|11|16
16|9|10|15|27|25|27|15|10|15|27|25|27|15|10|11|16
16|9|10|12|30|40|28|14|10|12|30|39|28|14|10|11|16
16|9|10|15|10|45|10|23|10|23|10|45|10|15|10|11|16
16|9|10|15|10|10|10|10|10|10|10|10|10|15|10|52|52
16|9|10|20|30|39|28|30|10|28|30|39|28|22|10|11|16
16|9|10|10|10|45|10|10|10|10|10|45|10|10|10|11|16
16|9|10|10|10|10|10|10|26|10|10|10|30|10|10|11|16
16|9|10|10|30|10|10|10|26|10|10|10|10|10|10|11|16
16|9|10|10|10|10|10|10|10|10|10|10|10|10|10|11|16
16|17|18|18|18|18|18|18|52|18|18|18|18|18|18|19|16
32|8|8|8|8|8|8|8|52|8|8|8|8|8|8|8|32
