grid:
32|8|8|8|8|8|8|8|52|8|8|8|8|8|8|8|32
16|1|2|2|2|2|2|2|52|2|2|2|2|2|2|3|16
16|9|10|10|10|10|10|10|10|10|10|10|10|10|10|11|16
16|9|10|10|10|10|10|10|10|10|10|10|10|10|10|11|16
16|9|10|10|4|29|29|29|5|29|29|29|29|6|10|11|16
16|9|10|10|15|10|10|10|23|27|10|10|10|15|10|11|16
16|9|10|28|22|10|40|45|10|10|10|45|39|15|10|11|16
52|52|10|10|10|10|10|25|10|7|10|10|10|15|10|11|16
16|9|10|7|10|28|29|30|10|20|29|29|29|22|10|11|16
16|9|10|15|10|10|10|26|10|10|10|10|10|10|10|11|16
16|9|10|23|10|31|10|28|29|29|29|29|29|30|10|11|16
16|9|10|10|10|10|10|10|10|10|10|10|10|10|10|11|16
16|9|10|10|10|10|10|10|10|10|10|10|10|10|10|11|16
16|17|18|18|18|18|18|18|18|18|18|18|18|18|18|19|16
32|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|32
