grid:
32|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|32
16|1|2|2|2|2|2|2|2|2|2|2|2|2|2|3|16
16|9|51|51|51|51|51|51|51|51|51|51|51|51|51|11|16
16|9|51|28|29|29|29|6|51|4|29|29|29|6|51|11|16
16|9|51|51|51|51|51|15|51|15|51|51|51|15|51|11|16
16|9|51|51|51|51|51|15|51|15|51|51|51|15|51|11|16
16|9|51|51|51|51|51|15|51|15|51|51|51|15|51|11|16
16|9|51|4|29|29|29|22|51|15|51|51|51|15|51|52|52
16|9|51|15|51|51|51|51|51|15|51|51|51|15|51|11|16
16|9|51|15|51|51|51|51|51|15|51|51|51|15|51|11|16
16|9|51|15|51|51|51|51|51|15|51|51|51|15|51|11|16
16|9|51|20|29|29|29|30|51|20|29|29|29|22|51|11|16
16|9|51|51|51|51|51|51|51|51|51|51|51|51|51|11|16
16|17|18|18|18|18|18|18|53|18|18|18|18|18|18|19|16
32|8|8|8|8|8|8|8|52|8|8|8|8|8|8|8|32
